# Date : 2018-06-07# Equipment : MACSQuant (Bjorkman lab)# User : sbarnes# Description :# A titration run of six replicates of Q294K in O3 date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,run_no,fold_change
20180607,gchure,Q294K,O3,R260,100.0,27685.818411002685,260.0,r3,0.952418949228026
20180607,gchure,Q294K,O3,R260,100.0,27686.35165023055,260.0,r6,0.9524404319703851
20180607,gchure,Q294K,O3,R260,250.0,27762.44834100724,260.0,r1,1.026970074748001
20180607,gchure,Q294K,O3,R260,250.0,27143.840099306206,260.0,r4,1.0001787535025308
20180607,gchure,Q294K,O3,R260,250.0,25935.03999485727,260.0,r5,0.947826796744249
20180607,gchure,Q294K,O3,R260,250.0,26487.416662849242,260.0,r3,0.9717496929539433
20180607,gchure,Q294K,O3,R260,250.0,24820.40455841752,260.0,r6,0.8995530201661567
20180607,gchure,Q294K,O3,R260,250.0,25913.53401908937,260.0,r2,0.9468953938519907
20180607,gchure,delta,O3,R0,250.0,27139.712703389992,0.0,r1,1.0
20180607,gchure,auto,O3,R0,250.0,4049.8383357483654,0.0,r1,0.0
20180607,gchure,Q294K,O3,R260,1000.0,25026.091895814963,260.0,r5,0.9961625953107937
20180607,gchure,Q294K,O3,R260,1000.0,25828.14946045864,260.0,r6,1.0341526226646667
20180607,gchure,Q294K,O3,R260,1000.0,26425.59615314281,260.0,r3,1.062451110451682
20180607,gchure,Q294K,O3,R260,1000.0,23912.328051037617,260.0,r2,0.9434083781647419
20180607,gchure,delta,O3,R0,1000.0,25107.108406566786,0.0,r1,1.0
20180607,gchure,auto,O3,R0,1000.0,3994.7897137530267,0.0,r1,0.0
20180607,gchure,Q294K,O3,R260,1000.0,28421.39372712895,260.0,r1,1.1569834829032912
20180607,gchure,Q294K,O3,R260,1000.0,24784.248617267018,260.0,r4,0.9847075163084923
20180607,gchure,Q294K,O3,R260,5000.0,23718.285249454657,260.0,r4,0.9916707609373625
20180607,gchure,Q294K,O3,R260,5000.0,24538.96307559555,260.0,r2,1.0327826291251794
20180607,gchure,auto,O3,R0,5000.0,3922.4880695362413,0.0,r1,0.0
20180607,gchure,delta,O3,R0,5000.0,23884.554069351263,0.0,r1,1.0
20180607,gchure,Q294K,O3,R260,5000.0,21442.753921253658,260.0,r1,0.8776779844270511
20180607,gchure,Q294K,O3,R260,5000.0,23724.273197813654,260.0,r3,0.9919707273015181
20180607,gchure,Q294K,O3,R260,5000.0,23888.264595717937,260.0,r5,1.0001858788747973
20180607,gchure,Q294K,O3,R260,5000.0,22101.332274783905,260.0,r6,0.9106694770679606
